method,metric,subtype,mode,score,edits,probes,on,off,activation,on_success,success_given_on,base_correct_given_off,total_success,probe_micro,edit_macro,base_reference_correct,base_correct_damage,base_wrong_correction,off_base_preserved,on_output_preserved,on_output_damaged,target_copy_total,target_copy_on,cap_hits,score_definition
C_NO_H,Reliability,ALL,RC_FIXED_OLD16,exact,200,200,200,0,1.0,200,1.0,,200,1,1,0,0,200,,,,,,0,TARGET_ADHERENCE
C_NO_H,Reliability,ALL,RC_FIXED_OLD16,semantic,200,200,200,0,1.0,198,0.99,,198,0.99,0.99,3,0,195,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,BASE,exact,23,23,0,23,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,BASE,semantic,23,23,0,23,0.0,0,,0.17391304347826086,4,0.17391304347826086,0.17391304347826086,4,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,FORCED_ON,exact,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,FORCED_ON,semantic,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,BE_ROUTE_R0,exact,23,23,23,0,1.0,22,0.9565217391304348,,22,0.9565217391304348,0.9565217391304348,0,0,22,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,BE_ROUTE_R0,semantic,23,23,23,0,1.0,23,1.0,,23,1,1,4,0,19,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,RC_FIXED_OLD16,exact,23,23,22,1,0.9565217391304348,21,0.9545454545454546,0.0,21,0.9130434782608695,0.9130434782608695,0,0,21,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,伪权威干扰,RC_FIXED_OLD16,semantic,23,23,22,1,0.9565217391304348,22,1.0,0.0,22,0.9565217391304348,0.9565217391304348,4,0,18,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,BASE,exact,28,28,0,28,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,BASE,semantic,28,28,0,28,0.0,0,,0.03571428571428571,1,0.03571428571428571,0.03571428571428571,1,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,FORCED_ON,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,FORCED_ON,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,BE_ROUTE_R0,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,BE_ROUTE_R0,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,RC_FIXED_OLD16,exact,28,28,28,0,1.0,28,1.0,,28,1,1,0,0,28,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,无关临床细节,RC_FIXED_OLD16,semantic,28,28,28,0,1.0,28,1.0,,28,1,1,1,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,BASE,exact,27,27,0,27,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,BASE,semantic,27,27,0,27,0.0,0,,0.07407407407407407,2,0.07407407407407407,0.07407407407407407,2,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,FORCED_ON,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,FORCED_ON,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,BE_ROUTE_R0,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,BE_ROUTE_R0,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,RC_FIXED_OLD16,exact,27,27,27,0,1.0,27,1.0,,27,1,1,0,0,27,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,模糊限定词,RC_FIXED_OLD16,semantic,27,27,27,0,1.0,27,1.0,,27,1,1,2,0,25,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,BASE,exact,29,29,0,29,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,BASE,semantic,29,29,0,29,0.0,0,,0.034482758620689655,1,0.034482758620689655,0.034482758620689655,1,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,FORCED_ON,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,FORCED_ON,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,BE_ROUTE_R0,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,BE_ROUTE_R0,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,RC_FIXED_OLD16,exact,29,29,29,0,1.0,29,1.0,,29,1,1,0,0,29,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,症状混淆,RC_FIXED_OLD16,semantic,29,29,29,0,1.0,27,0.9310344827586207,,27,0.9310344827586207,0.9310344827586207,1,0,26,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,BASE,exact,20,20,0,20,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,BASE,semantic,20,20,0,20,0.0,0,,0.05,1,0.05,0.05,1,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,FORCED_ON,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,FORCED_ON,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,BE_ROUTE_R0,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,BE_ROUTE_R0,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,RC_FIXED_OLD16,exact,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,0,0,19,,,,,,0,TARGET_ADHERENCE
C_NO_H,Robustness,误导性上下文,RC_FIXED_OLD16,semantic,20,20,20,0,1.0,19,0.95,,19,0.95,0.95,1,0,18,,,,,,0,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.02,4,0.02,0.02,4,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,FORCED_ON,exact,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,0,0,195,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,FORCED_ON,semantic,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,4,0,192,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,BE_ROUTE_R0,exact,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,0,0,195,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,BE_ROUTE_R0,semantic,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,4,0,192,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,RC_FIXED_OLD16,exact,200,200,200,0,1.0,195,0.975,,195,0.975,0.975,0,0,195,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Generality,ALL,RC_FIXED_OLD16,semantic,200,200,200,0,1.0,196,0.98,,196,0.98,0.98,4,0,192,,,,,,1,TARGET_ADHERENCE
C_NO_H,T_Locality,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
C_NO_H,T_Locality,ALL,BASE,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
C_NO_H,T_Locality,ALL,FORCED_ON,exact,200,200,200,0,1.0,6,0.03,,6,0.03,0.03,0,0,0,0,6,194,78,78,10,OUTPUT_PRESERVATION
C_NO_H,T_Locality,ALL,FORCED_ON,semantic,200,200,200,0,1.0,15,0.075,,15,0.075,0.075,42,32,5,0,6,194,78,78,10,SOURCE_ACCURACY
C_NO_H,T_Locality,ALL,BE_ROUTE_R0,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
C_NO_H,T_Locality,ALL,BE_ROUTE_R0,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
C_NO_H,T_Locality,ALL,RC_FIXED_OLD16,exact,200,200,0,200,0.0,0,,0.0,200,1,1,0,0,0,200,0,0,0,0,2,OUTPUT_PRESERVATION
C_NO_H,T_Locality,ALL,RC_FIXED_OLD16,semantic,200,200,0,200,0.0,0,,0.21,42,0.21,0.21,42,0,0,200,0,0,0,0,2,SOURCE_ACCURACY
C_NO_H,U_fit_diagnostic,ALL,BASE,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,BASE,semantic,200,200,0,200,0.0,0,,1.0,200,1,1,200,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,FORCED_ON,exact,200,200,200,0,1.0,0,0.0,,0,0,0,0,0,0,,,,,,3,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,FORCED_ON,semantic,200,200,200,0,1.0,199,0.995,,199,0.995,0.995,200,1,0,,,,,,3,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,BE_ROUTE_R0,exact,200,200,71,129,0.355,0,0.0,0.0,0,0,0,0,0,0,,,,,,1,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,BE_ROUTE_R0,semantic,200,200,71,129,0.355,71,1.0,1.0,200,1,1,200,0,0,,,,,,1,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,RC_FIXED_OLD16,exact,200,200,0,200,0.0,0,,0.0,0,0,0,0,0,0,,,,,,0,TARGET_ADHERENCE
C_NO_H,U_fit_diagnostic,ALL,RC_FIXED_OLD16,semantic,200,200,0,200,0.0,0,,1.0,200,1,1,200,0,0,,,,,,0,TARGET_ADHERENCE
