position,step,reg_gradient,preclip_total,reg_to_total,added_increment,changed_elements,native_gradient,fit_gradient,H_gradient,U_gradient,x_component_gradient,y_component_gradient,scale_relative,input_centered_to_ridge,patch_centered_to_ridge,final_centered_to_ridge,input_offdiag_mean,patch_offdiag_mean,final_offdiag_mean
8,80,1.0980853981150946e-05,0.010686495341360569,0.0010275449181782828,1.0980849498830173e-05,73723,0.03520899638533592,0.005434025079011917,0.02432830259203911,0.004650434013456106,2.4821886218081557e-06,2.7587602794637286e-07,0.00030296791837599647,0.23926554234356168,0.017792626840576326,0.45780623525008324,0.9999972172914342,0.9999996829432294,0.9999921984457342
8,160,1.1173045901505048e-05,0.0028333489317446947,0.003943406255517215,1.1173045452381924e-05,73725,0.013243809342384338,0.002630492439493537,0.011637230403721333,0.0012355371145531535,2.5449471587840266e-06,2.7980146947840176e-07,0.0002711783109343981,0.23926554234356168,0.01784878263523821,0.45770612934009985,0.9999972172914342,0.999999681607898,0.9999922016331984
8,320,1.1102714768717322e-05,0.0015845377929508686,0.007006910670171425,1.1102714934557742e-05,73728,0.006789274048060179,0.0019877504091709852,0.005561202764511108,0.0007411446422338486,2.7530838672676836e-06,2.924166768795787e-07,0.0003104185358635531,0.23926554234356168,0.01773221042950728,0.45757541516046357,0.9999972172914342,0.9999996818852669,0.9999922047064302
9,1,2.3247781441041364e-06,5.547173500061035,4.1909237994422874e-07,2.3295104748341224e-06,64185,0.000803079514298588,0.0009642381337471306,5.37905216217041,0.7169684171676636,3.525561582195089e-06,3.82736035598444e-06,0.001309937660252928,0.3573212111426338,0.015369333983482544,0.5560771438225811,0.9999958442895107,0.9999997224192821,0.9999910556879936
9,80,8.694019096235071e-06,0.06853723526000977,0.00012685103306622398,8.69406690580082e-06,73697,0.13893839716911316,0.00392878195270896,0.20655767619609833,0.011894160881638527,3.3980009797795187e-06,4.02308340536037e-06,0.00032215452937167714,0.3573212111426338,0.01696668713746864,0.5580283118369334,0.9999958442895107,0.9999996827284008,0.9999910190267901
9,160,9.06995054120057e-06,0.004801508039236069,0.0018889795595642947,9.069952171496785e-06,73716,0.03721442446112633,0.0012203240767121315,0.035793501883745193,0.0025152680464088917,3.4614741333980706e-06,4.0886035322607665e-06,0.000433359347317878,0.3573212111426338,0.01694629294376771,0.5574461903799228,0.9999958442895107,0.9999996813050379,0.9999910277974939
9,320,9.2237026115052e-06,0.0018392346100881696,0.0050149679442271005,9.22369976274672e-06,73724,0.012151516042649746,0.00044000157504342496,0.011730819940567017,0.0009004736202768981,3.546885177830673e-06,4.16475001948493e-06,0.0002685500338683202,0.3573212111426338,0.01689314732765129,0.5571883264185485,0.9999958442895107,0.9999996814301773,0.9999910336109252
10,1,1.133252281005928e-06,7.254560470581055,1.5621239709856055e-07,1.1437279969371901e-06,57970,0.0009221081854775548,0.0010698336409404874,7.118807792663574,0.704923152923584,2.8300778348799115e-06,3.954149942037391e-06,0.0023945446882362945,0.24012329302973612,0.014484492645765507,0.44754730634450623,0.9999972073148424,0.9999997304082622,0.9999922533734505
10,80,7.637570307824478e-06,0.01127331331372261,0.0006774911771969941,7.637566545775034e-06,73725,0.04872547835111618,0.009327685460448265,0.05702552571892738,0.007246884983032942,2.799433047907088e-06,3.9270214144458585e-06,0.0004190410518448334,0.24012329302973612,0.016061253671261627,0.4506013466560806,0.9999972073148424,0.9999997081998879,0.9999922079070084
10,160,7.961972410332268e-06,0.00397616857662797,0.0020024232516531026,7.961974461889248e-06,73724,0.01781410165131092,0.0034159859642386436,0.021128755062818527,0.0011700841132551432,2.8288743763710885e-06,4.0784325349108995e-06,0.0003907038774325155,0.24012329302973612,0.016118442890008657,0.450713061620772,0.9999972073148424,0.9999997074121059,0.9999922071086864
10,320,8.295113736121366e-06,0.0017994529334828258,0.004609797556675319,8.29511453915412e-06,73728,0.006621344946324825,0.0011654049158096313,0.007921125739812851,0.0006561871850863099,2.8754666382945224e-06,4.268122997983794e-06,0.0002423530835894979,0.24012329302973612,0.01618058589720152,0.4507696943030276,0.9999972073148424,0.9999997065102066,0.9999922072070344
11,1,2.2055195079535995e-06,6.445741653442383,3.421669105797515e-07,2.2094531386814764e-06,53362,0.0009567554807290435,0.000790493271779269,6.433862686157227,0.514051616191864,3.5291091589273484e-06,6.496152053104e-07,0.0009280561692237718,0.2475791448898549,0.014339874028172024,0.46695641726386655,0.999997120603005,0.9999997344747386,0.9999921154751729
