subset,stratum,method,mode,metric,subtype,score,edits,probes,edit_macro,probe_micro,ci_low,ci_high,activation,cap_hits,status,definition
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,2-hop,target_or_source_semantic,24,24,0.0,0.0,0.0,0.0,24,1,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,3-hop,literal,2,2,0.0,0.0,0.0,0.0,2,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Portability,3-hop,target_or_source_semantic,2,2,0.0,0.0,0.0,0.0,2,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Reliability,ALL,literal,200,200,1.0,1.0,1.0,1.0,200,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Reliability,ALL,target_or_source_semantic,200,200,0.99,0.99,0.975,1.0,200,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,伪权威干扰,literal,23,23,0.9565217391304348,0.9565217391304348,0.8695652173913043,1.0,23,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,伪权威干扰,target_or_source_semantic,23,23,1.0,1.0,1.0,1.0,23,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,无关临床细节,literal,28,28,1.0,1.0,1.0,1.0,28,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,无关临床细节,target_or_source_semantic,28,28,1.0,1.0,1.0,1.0,28,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,模糊限定词,literal,27,27,1.0,1.0,1.0,1.0,27,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,模糊限定词,target_or_source_semantic,27,27,1.0,1.0,1.0,1.0,27,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,症状混淆,literal,29,29,1.0,1.0,1.0,1.0,29,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,症状混淆,target_or_source_semantic,29,29,0.9310344827586207,0.9310344827586207,0.8275862068965517,1.0,29,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,误导性上下文,literal,20,20,0.95,0.95,0.85,1.0,20,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,Robustness,误导性上下文,target_or_source_semantic,20,20,0.95,0.95,0.85,1.0,20,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,T_Generality,ALL,literal,200,200,0.98,0.98,0.96,0.995,200,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,T_Generality,ALL,target_or_source_semantic,200,200,0.975,0.975,0.95,0.995,200,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,T_Locality,ALL,literal,200,200,0.0,0.0,0.0,0.0,200,5,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,FORCED_ON,T_Locality,ALL,target_or_source_semantic,200,200,0.015,0.015,0.0,0.035,200,5,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,I_Generality,ALL,literal,164,164,0.012195121951219513,0.012195121951219513,0.0,0.03048780487804878,2,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,I_Generality,ALL,target_or_source_semantic,164,164,0.024390243902439025,0.024390243902439025,0.006097560975609756,0.04878048780487805,2,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,I_Locality,ALL,literal,67,67,1.0,1.0,1.0,1.0,0,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,I_Locality,ALL,target_or_source_semantic,67,67,0.22388059701492538,0.22388059701492538,0.13432835820895522,0.3283582089552239,0,0,AVAILABLE,SOURCE_REFERENCE_ACCURACY_NOT_LOCALITY
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,1-hop,literal,73,73,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,73,1,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,1-hop,target_or_source_semantic,73,73,0.1095890410958904,0.1095890410958904,0.0410958904109589,0.1917808219178082,73,1,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,2-hop,literal,24,24,0.0,0.0,0.0,0.0,24,1,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,2-hop,target_or_source_semantic,24,24,0.0,0.0,0.0,0.0,24,1,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,3-hop,literal,2,2,0.0,0.0,0.0,0.0,2,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Portability,3-hop,target_or_source_semantic,2,2,0.0,0.0,0.0,0.0,2,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Reliability,ALL,literal,200,200,1.0,1.0,1.0,1.0,200,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Reliability,ALL,target_or_source_semantic,200,200,0.99,0.99,0.975,1.0,200,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,伪权威干扰,literal,23,23,0.9130434782608695,0.9130434782608695,0.782608695652174,1.0,22,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,伪权威干扰,target_or_source_semantic,23,23,0.9565217391304348,0.9565217391304348,0.8695652173913043,1.0,22,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,无关临床细节,literal,28,28,1.0,1.0,1.0,1.0,28,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,无关临床细节,target_or_source_semantic,28,28,1.0,1.0,1.0,1.0,28,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,模糊限定词,literal,27,27,1.0,1.0,1.0,1.0,27,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,模糊限定词,target_or_source_semantic,27,27,1.0,1.0,1.0,1.0,27,0,AVAILABLE,COUNTERFACTUAL_TARGET_ADHERENCE
COMMON_NO_H_BE,ALL_REQUESTS,BE,RC_FIXED_OLD16,Robustness,症状混淆,literal,29,29,1.0,1.0,1.0,1.0,29,0,AVAILABLE,PAPER_DEFINITION_OUTPUT_MATCH
