R_rank,anchor_columns,anchor_rank,cohort,edit,elapsed_seconds,expanded_parameters,expanded_tensor_bytes,fit_seconds,fp64_anchor_error,gram1_condition,gram2_condition,irreducible_combination_energy,negative_columns,original_parameters,repairs_container_bytes,ridge,support,condition,anchor_relative_error,fp32_anchor_relative_error,negative_energy_ratio,relative_repair_norm,anchor_singular_min,anchor_singular_max,R_singular_min,R_singular_max
28,20,20,SLAKE_STAGE2_BANK16,101,93.2741048336029,57860,231440,6.072085380554199,4.561080901303232e-15,909.2249662471243,409.16058964803864,0.0,28,1476,698674,5.119944554252499,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.72632127528062,393.1679577987149,0.5694083982818049,47.142550402855974
28,20,20,SLAKE_STAGE2_BANK16,101,93.2741048336029,57860,231440,6.072085380554199,4.561080901303232e-15,909.2249662471243,409.16058964803864,0.0,28,1476,698674,5.119944554252499,H_U_REPAIR,C1,0.782539076336069,0.782539076424726,1.854265850298344e-05,0.09570877595350055,6.72632127528062,393.1679577987149,0.5694083982818049,47.142550402855974
28,20,20,SLAKE_STAGE2_BANK16,101,93.2741048336029,57860,231440,6.072085380554199,4.561080901303232e-15,909.2249662471243,409.16058964803864,0.0,28,1476,698674,5.119944554252499,H_U_REPAIR,C2,4.561080901303232e-15,5.7602571387999075e-09,0.0032802644423937832,0.42360609017461676,6.72632127528062,393.1679577987149,0.5694083982818049,47.142550402855974
20,15,15,SLAKE_STAGE2_BANK16,102,83.34289932250977,57860,231440,5.700564861297607,6.362222952900992e-14,80.99270125847676,150.4778275640465,0.0,20,1476,698674,7.167921202423359,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,9.34773761993645,303.40327293648477,3.015566954400377,49.39470712279872
20,15,15,SLAKE_STAGE2_BANK16,102,83.34289932250977,57860,231440,5.700564861297607,6.362222952900992e-14,80.99270125847676,150.4778275640465,0.0,20,1476,698674,7.167921202423359,H_U_REPAIR,C1,0.861917228463254,0.8619172298100326,5.4022139079824384e-05,0.09292772669323342,9.34773761993645,303.40327293648477,3.015566954400377,49.39470712279872
20,15,15,SLAKE_STAGE2_BANK16,102,83.34289932250977,57860,231440,5.700564861297607,6.362222952900992e-14,80.99270125847676,150.4778275640465,0.0,20,1476,698674,7.167921202423359,H_U_REPAIR,C2,6.362222952900992e-14,1.0722673696594648e-08,0.07680096723605338,0.5104995065476838,9.34773761993645,303.40327293648477,3.015566954400377,49.39470712279872
20,15,15,SLAKE_STAGE2_BANK16,103,73.16148114204407,57860,231440,5.755916357040405,2.8218305510582633e-14,62.06262380180314,135.2135786478747,0.0,20,1476,698674,7.167922243914571,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,9.952726476821988,302.3763330004046,3.5095800169794327,51.25893758532739
20,15,15,SLAKE_STAGE2_BANK16,103,73.16148114204407,57860,231440,5.755916357040405,2.8218305510582633e-14,62.06262380180314,135.2135786478747,0.0,20,1476,698674,7.167922243914571,H_U_REPAIR,C1,0.741163740145928,0.7411637404137766,2.8489133124056576e-05,0.08329343739658733,9.952726476821988,302.3763330004046,3.5095800169794327,51.25893758532739
20,15,15,SLAKE_STAGE2_BANK16,103,73.16148114204407,57860,231440,5.755916357040405,2.8218305510582633e-14,62.06262380180314,135.2135786478747,0.0,20,1476,698674,7.167922243914571,H_U_REPAIR,C2,2.8218305510582633e-14,9.765998321630706e-09,0.06240287903702546,0.5184376761216218,9.952726476821988,302.3763330004046,3.5095800169794327,51.25893758532739
28,20,20,SLAKE_STAGE2_BANK16,104,92.28376126289368,57860,231440,6.142719984054565,1.942293797529406e-14,645.8599601326904,298.3790661143223,0.0,28,1476,698674,5.119944953858204,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.882146103594994,393.27890352498,1.5201969793699373,47.03315989177359
28,20,20,SLAKE_STAGE2_BANK16,104,92.28376126289368,57860,231440,6.142719984054565,1.942293797529406e-14,645.8599601326904,298.3790661143223,0.0,28,1476,698674,5.119944953858204,H_U_REPAIR,C1,0.8376454749603603,0.8376454751637871,3.4599217541626266e-05,0.10379550243678522,6.882146103594994,393.27890352498,1.5201969793699373,47.03315989177359
28,20,20,SLAKE_STAGE2_BANK16,104,92.28376126289368,57860,231440,6.142719984054565,1.942293797529406e-14,645.8599601326904,298.3790661143223,0.0,28,1476,698674,5.119944953858204,H_U_REPAIR,C2,1.942293797529406e-14,1.2837320037981843e-08,0.0034640789435875802,0.4633562458058435,6.882146103594994,393.27890352498,1.5201969793699373,47.03315989177359
28,20,20,SLAKE_STAGE2_BANK16,105,98.7296040058136,57860,231440,6.020622968673706,2.1310040673286843e-14,595.5700599953997,286.99455806776285,0.0,28,1476,698674,5.119945540771883,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.987314971163533,393.3209685493539,1.6909926680746843,47.80088839861237
28,20,20,SLAKE_STAGE2_BANK16,105,98.7296040058136,57860,231440,6.020622968673706,2.1310040673286843e-14,595.5700599953997,286.99455806776285,0.0,28,1476,698674,5.119945540771883,H_U_REPAIR,C1,0.761988446598708,0.7619884471189509,2.781487683882351e-05,0.09501762944383005,6.987314971163533,393.3209685493539,1.6909926680746843,47.80088839861237
28,20,20,SLAKE_STAGE2_BANK16,105,98.7296040058136,57860,231440,6.020622968673706,2.1310040673286843e-14,595.5700599953997,286.99455806776285,0.0,28,1476,698674,5.119945540771883,H_U_REPAIR,C2,2.1310040673286843e-14,6.138631963234737e-09,0.0034136147761096368,0.4149747332171974,6.987314971163533,393.3209685493539,1.6909926680746843,47.80088839861237
28,20,20,SLAKE_STAGE2_BANK16,106,94.98713517189026,57860,231440,6.01055908203125,1.2966353724598869e-14,870.9923092268564,393.5699595444934,0.0,28,1476,698674,5.119944310650116,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.845285870483508,397.35642747973407,0.578909818174108,46.27997428890096
28,20,20,SLAKE_STAGE2_BANK16,106,94.98713517189026,57860,231440,6.01055908203125,1.2966353724598869e-14,870.9923092268564,393.5699595444934,0.0,28,1476,698674,5.119944310650116,H_U_REPAIR,C1,0.8436140142500905,0.8436140134533183,3.197229167906865e-05,0.10359651417685203,6.845285870483508,397.35642747973407,0.578909818174108,46.27997428890096
28,20,20,SLAKE_STAGE2_BANK16,106,94.98713517189026,57860,231440,6.01055908203125,1.2966353724598869e-14,870.9923092268564,393.5699595444934,0.0,28,1476,698674,5.119944310650116,H_U_REPAIR,C2,1.2966353724598869e-14,9.040543539042738e-09,0.0033552393212515413,0.43594999493658737,6.845285870483508,397.35642747973407,0.578909818174108,46.27997428890096
20,15,15,SLAKE_STAGE2_BANK16,107,79.54749178886414,57860,231440,5.719598054885864,7.33097887088024e-14,115.29707234867936,130.1325745696726,0.0,20,1476,698674,7.167922658926981,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,9.244828525028217,303.40243093069023,3.838301982448675,53.31790078806803
20,15,15,SLAKE_STAGE2_BANK16,107,79.54749178886414,57860,231440,5.719598054885864,7.33097887088024e-14,115.29707234867936,130.1325745696726,0.0,20,1476,698674,7.167922658926981,H_U_REPAIR,C1,0.7157194775758179,0.7157194777558104,3.4832681462312e-05,0.08235190691738567,9.244828525028217,303.40243093069023,3.838301982448675,53.31790078806803
20,15,15,SLAKE_STAGE2_BANK16,107,79.54749178886414,57860,231440,5.719598054885864,7.33097887088024e-14,115.29707234867936,130.1325745696726,0.0,20,1476,698674,7.167922658926981,H_U_REPAIR,C2,7.33097887088024e-14,1.048111987092584e-08,0.053441159344646036,0.5021857574355156,9.244828525028217,303.40243093069023,3.838301982448675,53.31790078806803
28,20,20,SLAKE_STAGE2_BANK16,108,92.57637643814087,57860,231440,6.039478778839111,1.3849925524752036e-14,874.044732173222,385.79442062471554,0.0,28,1476,698674,5.1199453988022166,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,6.764722225984108,394.09493716692225,0.7912318673226078,47.02820640667983
28,20,20,SLAKE_STAGE2_BANK16,108,92.57637643814087,57860,231440,6.039478778839111,1.3849925524752036e-14,874.044732173222,385.79442062471554,0.0,28,1476,698674,5.1199453988022166,H_U_REPAIR,C1,0.7951137134696825,0.7951137129973902,2.8877728167446765e-05,0.09683997522560904,6.764722225984108,394.09493716692225,0.7912318673226078,47.02820640667983
28,20,20,SLAKE_STAGE2_BANK16,108,92.57637643814087,57860,231440,6.039478778839111,1.3849925524752036e-14,874.044732173222,385.79442062471554,0.0,28,1476,698674,5.1199453988022166,H_U_REPAIR,C2,1.3849925524752036e-14,8.50226428789997e-09,0.0037875088249916334,0.41492165676000786,6.764722225984108,394.09493716692225,0.7912318673226078,47.02820640667983
24,15,15,SLAKE_STAGE2_BANK16,109,78.34982109069824,57860,231440,5.699410915374756,6.830275655635016e-15,714.5451748362714,413.95227284870595,0.0,24,1476,698674,5.97326982242866,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,10.220863665191382,299.8057120074685,1.2342688495550864,55.6533768295119
24,15,15,SLAKE_STAGE2_BANK16,109,78.34982109069824,57860,231440,5.699410915374756,6.830275655635016e-15,714.5451748362714,413.95227284870595,0.0,24,1476,698674,5.97326982242866,H_U_REPAIR,C1,0.6566940004171505,0.656694000876964,6.826491492819605e-05,0.08118675197160015,10.220863665191382,299.8057120074685,1.2342688495550864,55.6533768295119
24,15,15,SLAKE_STAGE2_BANK16,109,78.34982109069824,57860,231440,5.699410915374756,6.830275655635016e-15,714.5451748362714,413.95227284870595,0.0,24,1476,698674,5.97326982242866,H_U_REPAIR,C2,6.830275655635016e-15,8.86573066123696e-09,0.004627154080848675,0.1945310660848325,10.220863665191382,299.8057120074685,1.2342688495550864,55.6533768295119
20,15,15,SLAKE_STAGE2_BANK16,110,87.96914982795715,57860,231440,5.707707166671753,3.3178416227696356e-14,138.87839678947617,167.06205129933818,0.0,20,1476,698674,7.167923406771295,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,10.234844863062715,302.25955667622003,3.586087714645388,57.78185041146216
20,15,15,SLAKE_STAGE2_BANK16,110,87.96914982795715,57860,231440,5.707707166671753,3.3178416227696356e-14,138.87839678947617,167.06205129933818,0.0,20,1476,698674,7.167923406771295,H_U_REPAIR,C1,0.7061766179029655,0.7061766183056061,3.651704049187921e-05,0.08324352457557284,10.234844863062715,302.25955667622003,3.586087714645388,57.78185041146216
20,15,15,SLAKE_STAGE2_BANK16,110,87.96914982795715,57860,231440,5.707707166671753,3.3178416227696356e-14,138.87839678947617,167.06205129933818,0.0,20,1476,698674,7.167923406771295,H_U_REPAIR,C2,3.3178416227696356e-14,1.5189160830429827e-08,0.04487106470711479,0.4833264172056686,10.234844863062715,302.25955667622003,3.586087714645388,57.78185041146216
20,15,15,SLAKE_STAGE2_BANK16,111,77.29403185844421,57860,231440,5.7170774936676025,1.8763975045793613e-13,404.7194068676147,274.83775061028683,0.0,20,1476,698674,7.167922949026627,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,10.138516193856388,303.72758409619485,1.9886973005055546,55.22507017770809
20,15,15,SLAKE_STAGE2_BANK16,111,77.29403185844421,57860,231440,5.7170774936676025,1.8763975045793613e-13,404.7194068676147,274.83775061028683,0.0,20,1476,698674,7.167922949026627,H_U_REPAIR,C1,0.8691414675374759,0.8691414679384497,4.364254778696549e-05,0.0957260392682761,10.138516193856388,303.72758409619485,1.9886973005055546,55.22507017770809
20,15,15,SLAKE_STAGE2_BANK16,111,77.29403185844421,57860,231440,5.7170774936676025,1.8763975045793613e-13,404.7194068676147,274.83775061028683,0.0,20,1476,698674,7.167922949026627,H_U_REPAIR,C2,1.8763975045793613e-13,1.1518692434948538e-08,0.19380388175031787,0.5608931765741721,10.138516193856388,303.72758409619485,1.9886973005055546,55.22507017770809
24,20,20,SLAKE_STAGE2_BANK16,112,77.11152195930481,57860,231440,5.777092695236206,9.107413599894354e-16,374.63861714991924,178.10936514770626,0.0,24,1476,698674,5.973265858813697,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,7.809277099131402,429.09976767930266,2.426634594190287,45.89910889780212
24,20,20,SLAKE_STAGE2_BANK16,112,77.11152195930481,57860,231440,5.777092695236206,9.107413599894354e-16,374.63861714991924,178.10936514770626,0.0,24,1476,698674,5.973265858813697,H_U_REPAIR,C1,0.7816409959741835,0.7816409987170007,3.657574553332752e-05,0.0891674532682813,7.809277099131402,429.09976767930266,2.426634594190287,45.89910889780212
24,20,20,SLAKE_STAGE2_BANK16,112,77.11152195930481,57860,231440,5.777092695236206,9.107413599894354e-16,374.63861714991924,178.10936514770626,0.0,24,1476,698674,5.973265858813697,H_U_REPAIR,C2,9.107413599894354e-16,8.295892183368297e-09,0.0015376221348707868,0.3195502601791866,7.809277099131402,429.09976767930266,2.426634594190287,45.89910889780212
20,15,15,SLAKE_STAGE2_BANK16,113,82.8865716457367,57860,231440,5.688329219818115,4.17717712530013e-14,98.70405573443482,122.00779196110474,0.0,20,1476,698674,7.167923629455474,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,9.163387872635727,304.40083398018345,4.157016053018382,54.55057032944262
20,15,15,SLAKE_STAGE2_BANK16,113,82.8865716457367,57860,231440,5.688329219818115,4.17717712530013e-14,98.70405573443482,122.00779196110474,0.0,20,1476,698674,7.167923629455474,H_U_REPAIR,C1,0.724942822181955,0.7249428227483475,2.5240301154257096e-05,0.08521528494422852,9.163387872635727,304.40083398018345,4.157016053018382,54.55057032944262
20,15,15,SLAKE_STAGE2_BANK16,113,82.8865716457367,57860,231440,5.688329219818115,4.17717712530013e-14,98.70405573443482,122.00779196110474,0.0,20,1476,698674,7.167923629455474,H_U_REPAIR,C2,4.17717712530013e-14,9.193586585980988e-09,0.03527567731595674,0.4871073298775627,9.163387872635727,304.40083398018345,4.157016053018382,54.55057032944262
20,15,15,SLAKE_STAGE2_BANK16,114,85.14996647834778,57860,231440,5.726262092590332,4.367955067306375e-15,539.1163143399176,344.9305305269149,0.0,20,1476,698674,7.167917197789518,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,9.647596496863832,320.58898465441547,0.5855230986624208,50.82834461263143
20,15,15,SLAKE_STAGE2_BANK16,114,85.14996647834778,57860,231440,5.726262092590332,4.367955067306375e-15,539.1163143399176,344.9305305269149,0.0,20,1476,698674,7.167917197789518,H_U_REPAIR,C1,0.8389782571201964,0.8389782581977567,2.1882278949099525e-05,0.10383130925961137,9.647596496863832,320.58898465441547,0.5855230986624208,50.82834461263143
20,15,15,SLAKE_STAGE2_BANK16,114,85.14996647834778,57860,231440,5.726262092590332,4.367955067306375e-15,539.1163143399176,344.9305305269149,0.0,20,1476,698674,7.167917197789518,H_U_REPAIR,C2,4.367955067306375e-15,3.990564747334313e-09,0.0015156188144499012,0.3286404193200511,9.647596496863832,320.58898465441547,0.5855230986624208,50.82834461263143
20,25,25,SLAKE_STAGE2_BANK16,115,87.77981376647949,57860,231440,6.062826871871948,2.2012562615245165e-14,356.2809003950862,161.3662802006952,0.0,20,1476,698674,7.167924558489234,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,5.717924575667063,413.25747204013106,2.7408617510012716,48.597623796490765
20,25,25,SLAKE_STAGE2_BANK16,115,87.77981376647949,57860,231440,6.062826871871948,2.2012562615245165e-14,356.2809003950862,161.3662802006952,0.0,20,1476,698674,7.167924558489234,H_U_REPAIR,C1,0.7781466542220711,0.7781466527923913,3.18440747941018e-05,0.09639906886404798,5.717924575667063,413.25747204013106,2.7408617510012716,48.597623796490765
20,25,25,SLAKE_STAGE2_BANK16,115,87.77981376647949,57860,231440,6.062826871871948,2.2012562615245165e-14,356.2809003950862,161.3662802006952,0.0,20,1476,698674,7.167924558489234,H_U_REPAIR,C2,2.2012562615245165e-14,6.182843877645623e-09,0.0032045851972880447,0.39551600036584605,5.717924575667063,413.25747204013106,2.7408617510012716,48.597623796490765
20,25,25,SLAKE_STAGE2_BANK16,116,385.5918936729431,57860,231440,6.031635999679565,3.9769230524592316e-14,367.62637743716994,161.59057384956432,0.0,20,1476,698674,7.167923720174765,H_U_REPAIR,C0,0.0,0.0,1.0,0.0,5.827807194801578,413.02290313544097,2.4295572976387585,45.87951097382631
20,25,25,SLAKE_STAGE2_BANK16,116,385.5918936729431,57860,231440,6.031635999679565,3.9769230524592316e-14,367.62637743716994,161.59057384956432,0.0,20,1476,698674,7.167923720174765,H_U_REPAIR,C1,0.8200682202266265,0.8200682200413075,4.831025496636117e-05,0.10188073094562816,5.827807194801578,413.02290313544097,2.4295572976387585,45.87951097382631
20,25,25,SLAKE_STAGE2_BANK16,116,385.5918936729431,57860,231440,6.031635999679565,3.9769230524592316e-14,367.62637743716994,161.59057384956432,0.0,20,1476,698674,7.167923720174765,H_U_REPAIR,C2,3.9769230524592316e-14,1.511301849970322e-08,0.03382795425922778,0.6408059001743432,5.827807194801578,413.02290313544097,2.4295572976387585,45.87951097382631
